ED,Reported As,Reporting,Jose Rivera,Scattered,Fernando P. Tirado,Total Votes,p_Jose Rivera,p_Scattered,p_Fernando P. Tirado,winner,winner_p
78001,78001,100,47,1,5,53,0.8867924528301887,0.018867924528301886,0.09433962264150944,Jose Rivera,0.8867924528301887
78002,78002,100,82,1,13,96,0.8541666666666666,0.010416666666666666,0.13541666666666666,Jose Rivera,0.8541666666666666
78003,78003,100,32,0,8,40,0.8,0.0,0.2,Jose Rivera,0.8
78004,78004,100,60,0,14,74,0.8108108108108109,0.0,0.1891891891891892,Jose Rivera,0.8108108108108109
78005,78005,100,62,1,9,72,0.8611111111111112,0.013888888888888888,0.125,Jose Rivera,0.8611111111111112
78006,78006,100,85,0,14,99,0.8585858585858586,0.0,0.1414141414141414,Jose Rivera,0.8585858585858586
78007,78007,100,25,0,1,26,0.9615384615384616,0.0,0.038461538461538464,Jose Rivera,0.9615384615384616
78008,78008,100,17,1,3,21,0.8095238095238095,0.047619047619047616,0.14285714285714285,Jose Rivera,0.8095238095238095
78009,78009,100,54,0,16,70,0.7714285714285715,0.0,0.22857142857142856,Jose Rivera,0.7714285714285715
78010,78010,100,49,0,16,65,0.7538461538461538,0.0,0.24615384615384617,Jose Rivera,0.7538461538461538
78011,78011,100,40,0,5,45,0.8888888888888888,0.0,0.1111111111111111,Jose Rivera,0.8888888888888888
78012,78012,100,73,0,13,86,0.8488372093023255,0.0,0.1511627906976744,Jose Rivera,0.8488372093023255
78013,78013,100,51,2,18,71,0.7183098591549296,0.028169014084507043,0.2535211267605634,Jose Rivera,0.7183098591549296
78014,78014,100,39,0,8,47,0.8297872340425532,0.0,0.1702127659574468,Jose Rivera,0.8297872340425532
78015,78015,100,12,0,10,22,0.5454545454545454,0.0,0.45454545454545453,Jose Rivera,0.5454545454545454
78016,78016,100,32,2,15,49,0.6530612244897959,0.04081632653061224,0.30612244897959184,Jose Rivera,0.6530612244897959
78017,78017,100,27,0,3,30,0.9,0.0,0.1,Jose Rivera,0.9
78018,78018,100,34,0,20,54,0.6296296296296297,0.0,0.37037037037037035,Jose Rivera,0.6296296296296297
78019,78019,100,36,1,5,42,0.8571428571428571,0.023809523809523808,0.11904761904761904,Jose Rivera,0.8571428571428571
78020,78020,100,45,0,10,55,0.8181818181818182,0.0,0.18181818181818182,Jose Rivera,0.8181818181818182
78021,78021,100,49,1,13,63,0.7777777777777778,0.015873015873015872,0.20634920634920634,Jose Rivera,0.7777777777777778
78022,78022,100,45,0,12,57,0.7894736842105263,0.0,0.21052631578947367,Jose Rivera,0.7894736842105263
78023,78023,100,61,0,11,72,0.8472222222222222,0.0,0.1527777777777778,Jose Rivera,0.8472222222222222
78024,78024,100,61,0,20,81,0.7530864197530864,0.0,0.24691358024691357,Jose Rivera,0.7530864197530864
78025,78025,100,25,0,3,28,0.8928571428571429,0.0,0.10714285714285714,Jose Rivera,0.8928571428571429
78026,78026,100,34,0,7,41,0.8292682926829268,0.0,0.17073170731707318,Jose Rivera,0.8292682926829268
78027,78027,100,23,0,8,31,0.7419354838709677,0.0,0.25806451612903225,Jose Rivera,0.7419354838709677
78028,78028,100,54,0,18,72,0.75,0.0,0.25,Jose Rivera,0.75
78029,78029,100,36,0,12,48,0.75,0.0,0.25,Jose Rivera,0.75
78030,78030,100,40,0,24,64,0.625,0.0,0.375,Jose Rivera,0.625
78031,78031,100,34,1,12,47,0.723404255319149,0.02127659574468085,0.2553191489361702,Jose Rivera,0.723404255319149
78032,78032,100,45,2,27,74,0.6081081081081081,0.02702702702702703,0.36486486486486486,Jose Rivera,0.6081081081081081
78033,78033,100,25,1,29,55,0.45454545454545453,0.01818181818181818,0.5272727272727272,Fernando P. Tirado,0.5272727272727272
78034,78034,100,31,0,11,42,0.7380952380952381,0.0,0.2619047619047619,Jose Rivera,0.7380952380952381
78035,78035,100,6,0,5,11,0.5454545454545454,0.0,0.45454545454545453,Jose Rivera,0.5454545454545454
78036,78036,100,24,1,17,42,0.5714285714285714,0.023809523809523808,0.40476190476190477,Jose Rivera,0.5714285714285714
78037,78007,100,0,0,0,0,0,0,0,n/a,0
78038,78038,100,56,1,22,79,0.7088607594936709,0.012658227848101266,0.27848101265822783,Jose Rivera,0.7088607594936709
78039,78039,100,11,0,5,16,0.6875,0.0,0.3125,Jose Rivera,0.6875
78040,78040,100,90,0,20,110,0.8181818181818182,0.0,0.18181818181818182,Jose Rivera,0.8181818181818182
78041,78041,100,62,0,36,98,0.6326530612244898,0.0,0.3673469387755102,Jose Rivera,0.6326530612244898
78042,78042,100,0,0,0,0,0,0,0,n/a,0
78043,78043,100,20,1,4,25,0.8,0.04,0.16,Jose Rivera,0.8
78044,78044,100,45,0,13,58,0.7758620689655172,0.0,0.22413793103448276,Jose Rivera,0.7758620689655172
78045,78045,100,85,0,15,100,0.85,0.0,0.15,Jose Rivera,0.85
78046,78046,100,57,1,16,74,0.7702702702702703,0.013513513513513514,0.21621621621621623,Jose Rivera,0.7702702702702703
78047,78047,100,30,0,14,44,0.6818181818181818,0.0,0.3181818181818182,Jose Rivera,0.6818181818181818
78048,78048,100,98,0,29,127,0.7716535433070866,0.0,0.2283464566929134,Jose Rivera,0.7716535433070866
78049,78049,100,67,0,17,84,0.7976190476190477,0.0,0.20238095238095238,Jose Rivera,0.7976190476190477
78050,78050,100,78,0,16,94,0.8297872340425532,0.0,0.1702127659574468,Jose Rivera,0.8297872340425532
78051,78051,100,67,1,10,78,0.8589743589743589,0.01282051282051282,0.1282051282051282,Jose Rivera,0.8589743589743589
78052,78052,100,57,0,8,65,0.8769230769230769,0.0,0.12307692307692308,Jose Rivera,0.8769230769230769
78053,78053,100,36,0,8,44,0.8181818181818182,0.0,0.18181818181818182,Jose Rivera,0.8181818181818182
78054,78054,100,21,0,9,30,0.7,0.0,0.3,Jose Rivera,0.7
78055,78042,100,0,0,0,0,0,0,0,n/a,0
78056,78056,100,0,0,0,0,0,0,0,n/a,0
78057,78003,100,0,0,0,0,0,0,0,n/a,0
78058,78007,100,0,0,0,0,0,0,0,n/a,0
