ED,Reported As,Reporting,Olanike T. Alabi,Scattered,Renee T. Collymore,Total Votes,p_Olanike T. Alabi,p_Scattered,p_Renee T. Collymore,winner,winner_p
57001,57001,100,31,0,19,50,0.62,0.0,0.38,Olanike T. Alabi,0.62
57002,57002,100,32,0,30,62,0.5161290322580645,0.0,0.4838709677419355,Olanike T. Alabi,0.5161290322580645
57003,57003,100,37,0,33,70,0.5285714285714286,0.0,0.4714285714285714,Olanike T. Alabi,0.5285714285714286
57004,57004,100,5,0,9,14,0.35714285714285715,0.0,0.6428571428571429,Renee T. Collymore,0.6428571428571429
57005,57005,100,7,0,12,19,0.3684210526315789,0.0,0.631578947368421,Renee T. Collymore,0.631578947368421
57006,57006,100,21,0,34,55,0.38181818181818183,0.0,0.6181818181818182,Renee T. Collymore,0.6181818181818182
57007,57007,100,22,0,22,44,0.5,0.0,0.5,Tie,0.5
57008,57008,100,16,0,23,39,0.41025641025641024,0.0,0.5897435897435898,Renee T. Collymore,0.5897435897435898
57009,57009,100,25,1,12,38,0.6578947368421053,0.02631578947368421,0.3157894736842105,Olanike T. Alabi,0.6578947368421053
57010,57010,100,53,0,45,98,0.5408163265306123,0.0,0.45918367346938777,Olanike T. Alabi,0.5408163265306123
57011,57011,100,78,0,70,148,0.527027027027027,0.0,0.47297297297297297,Olanike T. Alabi,0.527027027027027
57012,57012,100,36,0,40,76,0.47368421052631576,0.0,0.5263157894736842,Renee T. Collymore,0.5263157894736842
57013,57013,100,21,0,11,32,0.65625,0.0,0.34375,Olanike T. Alabi,0.65625
57014,57014,100,15,0,13,28,0.5357142857142857,0.0,0.4642857142857143,Olanike T. Alabi,0.5357142857142857
57015,57015,100,43,0,33,76,0.5657894736842105,0.0,0.4342105263157895,Olanike T. Alabi,0.5657894736842105
57016,57016,100,45,0,45,90,0.5,0.0,0.5,Tie,0.5
57017,57017,100,71,1,52,124,0.5725806451612904,0.008064516129032258,0.41935483870967744,Olanike T. Alabi,0.5725806451612904
57018,57018,100,92,0,135,227,0.4052863436123348,0.0,0.5947136563876652,Renee T. Collymore,0.5947136563876652
57019,57019,100,2,1,1,4,0.5,0.25,0.25,Olanike T. Alabi,0.5
57020,57019,100,0,0,0,0,0,0,0,n/a,0
57021,57021,100,23,1,25,49,0.46938775510204084,0.02040816326530612,0.5102040816326531,Renee T. Collymore,0.5102040816326531
57022,57022,100,18,1,19,38,0.47368421052631576,0.02631578947368421,0.5,Renee T. Collymore,0.5
57023,57023,100,1,0,3,4,0.25,0.0,0.75,Renee T. Collymore,0.75
57024,57024,100,60,0,43,103,0.5825242718446602,0.0,0.4174757281553398,Olanike T. Alabi,0.5825242718446602
57025,57025,100,38,0,30,68,0.5588235294117647,0.0,0.4411764705882353,Olanike T. Alabi,0.5588235294117647
57026,57026,100,61,3,48,112,0.5446428571428571,0.026785714285714284,0.42857142857142855,Olanike T. Alabi,0.5446428571428571
57027,57027,100,43,0,31,74,0.581081081081081,0.0,0.4189189189189189,Olanike T. Alabi,0.581081081081081
57028,57028,100,51,0,25,76,0.6710526315789473,0.0,0.32894736842105265,Olanike T. Alabi,0.6710526315789473
57029,57029,100,48,2,44,94,0.5106382978723404,0.02127659574468085,0.46808510638297873,Olanike T. Alabi,0.5106382978723404
57030,57030,100,98,0,74,172,0.5697674418604651,0.0,0.43023255813953487,Olanike T. Alabi,0.5697674418604651
57031,57031,100,115,0,114,229,0.5021834061135371,0.0,0.4978165938864629,Olanike T. Alabi,0.5021834061135371
57032,57032,100,33,0,19,52,0.6346153846153846,0.0,0.36538461538461536,Olanike T. Alabi,0.6346153846153846
57033,57033,100,27,0,33,60,0.45,0.0,0.55,Renee T. Collymore,0.55
57034,57034,100,91,1,62,154,0.5909090909090909,0.006493506493506494,0.4025974025974026,Olanike T. Alabi,0.5909090909090909
57035,57035,100,54,0,44,98,0.5510204081632653,0.0,0.4489795918367347,Olanike T. Alabi,0.5510204081632653
57036,57036,100,18,1,28,47,0.3829787234042553,0.02127659574468085,0.5957446808510638,Renee T. Collymore,0.5957446808510638
57037,57037,100,15,0,27,42,0.35714285714285715,0.0,0.6428571428571429,Renee T. Collymore,0.6428571428571429
57038,57038,100,50,0,32,82,0.6097560975609756,0.0,0.3902439024390244,Olanike T. Alabi,0.6097560975609756
57039,57039,100,66,1,46,113,0.584070796460177,0.008849557522123894,0.40707964601769914,Olanike T. Alabi,0.584070796460177
57040,57040,100,67,0,54,121,0.5537190082644629,0.0,0.4462809917355372,Olanike T. Alabi,0.5537190082644629
57041,57041,100,46,0,48,94,0.48936170212765956,0.0,0.5106382978723404,Renee T. Collymore,0.5106382978723404
57042,57042,100,71,4,60,135,0.5259259259259259,0.02962962962962963,0.4444444444444444,Olanike T. Alabi,0.5259259259259259
57043,57043,100,48,1,23,72,0.6666666666666666,0.013888888888888888,0.3194444444444444,Olanike T. Alabi,0.6666666666666666
57044,57044,100,49,0,36,85,0.5764705882352941,0.0,0.4235294117647059,Olanike T. Alabi,0.5764705882352941
57045,57045,100,44,0,30,74,0.5945945945945946,0.0,0.40540540540540543,Olanike T. Alabi,0.5945945945945946
57046,57046,100,30,0,25,55,0.5454545454545454,0.0,0.45454545454545453,Olanike T. Alabi,0.5454545454545454
57047,57047,100,61,0,43,104,0.5865384615384616,0.0,0.41346153846153844,Olanike T. Alabi,0.5865384615384616
57048,57048,100,54,0,46,100,0.54,0.0,0.46,Olanike T. Alabi,0.54
57049,57049,100,27,0,22,49,0.5510204081632653,0.0,0.4489795918367347,Olanike T. Alabi,0.5510204081632653
57050,57050,100,44,0,53,97,0.4536082474226804,0.0,0.5463917525773195,Renee T. Collymore,0.5463917525773195
57051,57051,100,30,0,40,70,0.42857142857142855,0.0,0.5714285714285714,Renee T. Collymore,0.5714285714285714
57052,57052,100,21,1,35,57,0.3684210526315789,0.017543859649122806,0.6140350877192983,Renee T. Collymore,0.6140350877192983
57053,57053,100,42,0,53,95,0.4421052631578947,0.0,0.5578947368421052,Renee T. Collymore,0.5578947368421052
57054,57054,100,27,0,33,60,0.45,0.0,0.55,Renee T. Collymore,0.55
57055,57055,100,39,0,44,83,0.46987951807228917,0.0,0.5301204819277109,Renee T. Collymore,0.5301204819277109
57056,57056,100,36,0,45,81,0.4444444444444444,0.0,0.5555555555555556,Renee T. Collymore,0.5555555555555556
57057,57057,100,27,0,25,52,0.5192307692307693,0.0,0.4807692307692308,Olanike T. Alabi,0.5192307692307693
57058,57058,100,18,0,28,46,0.391304347826087,0.0,0.6086956521739131,Renee T. Collymore,0.6086956521739131
57059,57059,100,19,0,23,42,0.4523809523809524,0.0,0.5476190476190477,Renee T. Collymore,0.5476190476190477
57060,57060,100,38,0,21,59,0.6440677966101694,0.0,0.3559322033898305,Olanike T. Alabi,0.6440677966101694
57061,57061,100,13,0,6,19,0.6842105263157895,0.0,0.3157894736842105,Olanike T. Alabi,0.6842105263157895
57062,57062,100,2,0,2,4,0.5,0.0,0.5,Tie,0.5
57063,57063,100,66,0,22,88,0.75,0.0,0.25,Olanike T. Alabi,0.75
57064,57064,100,39,1,50,90,0.43333333333333335,0.011111111111111112,0.5555555555555556,Renee T. Collymore,0.5555555555555556
57065,57065,100,53,0,43,96,0.5520833333333334,0.0,0.4479166666666667,Olanike T. Alabi,0.5520833333333334
57066,57066,100,28,0,56,84,0.3333333333333333,0.0,0.6666666666666666,Renee T. Collymore,0.6666666666666666
57067,57067,100,25,0,40,65,0.38461538461538464,0.0,0.6153846153846154,Renee T. Collymore,0.6153846153846154
57068,57068,100,74,0,54,128,0.578125,0.0,0.421875,Olanike T. Alabi,0.578125
57069,57069,100,40,0,40,80,0.5,0.0,0.5,Tie,0.5
57070,57070,100,65,0,34,99,0.6565656565656566,0.0,0.3434343434343434,Olanike T. Alabi,0.6565656565656566
57071,57071,100,46,0,15,61,0.7540983606557377,0.0,0.2459016393442623,Olanike T. Alabi,0.7540983606557377
57072,57072,100,47,2,56,105,0.44761904761904764,0.01904761904761905,0.5333333333333333,Renee T. Collymore,0.5333333333333333
57073,57073,100,38,2,17,57,0.6666666666666666,0.03508771929824561,0.2982456140350877,Olanike T. Alabi,0.6666666666666666
57074,57074,100,69,0,29,98,0.7040816326530612,0.0,0.29591836734693877,Olanike T. Alabi,0.7040816326530612
57075,57075,100,55,1,62,118,0.4661016949152542,0.00847457627118644,0.5254237288135594,Renee T. Collymore,0.5254237288135594
57076,57076,100,53,1,70,124,0.4274193548387097,0.008064516129032258,0.5645161290322581,Renee T. Collymore,0.5645161290322581
57077,57077,100,26,0,19,45,0.5777777777777777,0.0,0.4222222222222222,Olanike T. Alabi,0.5777777777777777
57078,57078,100,60,0,82,142,0.4225352112676056,0.0,0.5774647887323944,Renee T. Collymore,0.5774647887323944
57079,57079,100,69,2,33,104,0.6634615384615384,0.019230769230769232,0.3173076923076923,Olanike T. Alabi,0.6634615384615384
57080,57080,100,49,1,57,107,0.45794392523364486,0.009345794392523364,0.5327102803738317,Renee T. Collymore,0.5327102803738317
57081,57081,100,50,0,30,80,0.625,0.0,0.375,Olanike T. Alabi,0.625
57082,57082,100,14,0,17,31,0.45161290322580644,0.0,0.5483870967741935,Renee T. Collymore,0.5483870967741935
57083,57083,100,31,0,34,65,0.47692307692307695,0.0,0.5230769230769231,Renee T. Collymore,0.5230769230769231
57084,57084,100,22,0,18,40,0.55,0.0,0.45,Olanike T. Alabi,0.55
57085,57085,100,55,0,47,102,0.5392156862745098,0.0,0.46078431372549017,Olanike T. Alabi,0.5392156862745098
57086,57086,100,52,1,83,136,0.38235294117647056,0.007352941176470588,0.6102941176470589,Renee T. Collymore,0.6102941176470589
57087,57087,100,9,2,8,19,0.47368421052631576,0.10526315789473684,0.42105263157894735,Olanike T. Alabi,0.47368421052631576
57088,57088,100,34,0,44,78,0.4358974358974359,0.0,0.5641025641025641,Renee T. Collymore,0.5641025641025641
57089,57089,100,42,0,35,77,0.5454545454545454,0.0,0.45454545454545453,Olanike T. Alabi,0.5454545454545454
57090,57090,100,128,0,76,204,0.6274509803921569,0.0,0.37254901960784315,Olanike T. Alabi,0.6274509803921569
57091,57091,100,109,0,75,184,0.592391304347826,0.0,0.4076086956521739,Olanike T. Alabi,0.592391304347826
57092,57092,100,46,1,27,74,0.6216216216216216,0.013513513513513514,0.36486486486486486,Olanike T. Alabi,0.6216216216216216
57093,57093,100,33,0,54,87,0.3793103448275862,0.0,0.6206896551724138,Renee T. Collymore,0.6206896551724138
57094,57094,100,26,0,27,53,0.49056603773584906,0.0,0.5094339622641509,Renee T. Collymore,0.5094339622641509
57095,57095,100,44,0,30,74,0.5945945945945946,0.0,0.40540540540540543,Olanike T. Alabi,0.5945945945945946
57096,57096,100,0,0,0,0,0,0,0,n/a,0
