ED,Reported As,Reporting,Lizette Colon (Democratic),Scattered,Total Votes,Lizette Colon RECAP,Scattered RECAP,p_Lizette Colon (Democratic),p_Scattered,p_Lizette Colon RECAP,p_Scattered RECAP,winner,winner_p
53062,53062,100,27,0,27,27,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53066,53066,100,140,2,142,140,2,0.9859154929577465,0.014084507042253521,0.9859154929577465,0.014084507042253521,Lizette Colon RECAP,0.9859154929577465
53067,53067,100,132,0,132,132,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53068,53068,100,130,0,130,130,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53069,53069,100,63,1,64,63,1,0.984375,0.015625,0.984375,0.015625,Lizette Colon RECAP,0.984375
53070,53070,100,153,0,153,153,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53071,53071,100,69,0,69,69,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53072,53072,100,116,0,116,116,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53073,53073,100,150,0,150,150,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53074,53074,100,142,1,143,142,1,0.993006993006993,0.006993006993006993,0.993006993006993,0.006993006993006993,Lizette Colon RECAP,0.993006993006993
53075,53075,100,71,0,71,71,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53076,53076,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53077,53077,100,122,0,122,122,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54001,54001,100,41,0,41,41,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54002,54002,100,65,1,66,65,1,0.9848484848484849,0.015151515151515152,0.9848484848484849,0.015151515151515152,Lizette Colon RECAP,0.9848484848484849
54003,54003,100,91,1,92,91,1,0.9891304347826086,0.010869565217391304,0.9891304347826086,0.010869565217391304,Lizette Colon RECAP,0.9891304347826086
54004,54004,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54005,54005,100,14,0,14,14,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54006,54006,100,18,1,19,18,1,0.9473684210526315,0.05263157894736842,0.9473684210526315,0.05263157894736842,Lizette Colon RECAP,0.9473684210526315
54019,54019,100,93,0,93,93,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54020,54020,100,147,3,150,147,3,0.98,0.02,0.98,0.02,Lizette Colon RECAP,0.98
54021,54021,100,129,0,129,129,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54022,54022,100,86,0,86,86,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54023,54023,100,113,1,114,113,1,0.9912280701754386,0.008771929824561403,0.9912280701754386,0.008771929824561403,Lizette Colon RECAP,0.9912280701754386
54024,54024,100,80,0,80,80,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54025,54025,100,59,1,60,59,1,0.9833333333333333,0.016666666666666666,0.9833333333333333,0.016666666666666666,Lizette Colon RECAP,0.9833333333333333
54027,54027,100,90,0,90,90,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54028,54028,100,147,0,147,147,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54029,54029,100,82,0,82,82,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54030,54030,100,131,0,131,131,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54031,54031,100,25,0,25,25,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54032,54032,100,121,0,121,121,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54033,54033,100,136,0,136,136,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54034,54034,100,166,0,166,166,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54035,54035,100,122,0,122,122,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54036,54036,100,150,1,151,150,1,0.9933774834437086,0.006622516556291391,0.9933774834437086,0.006622516556291391,Lizette Colon RECAP,0.9933774834437086
54037,54037,100,140,1,141,140,1,0.9929078014184397,0.0070921985815602835,0.9929078014184397,0.0070921985815602835,Lizette Colon RECAP,0.9929078014184397
54038,54038,100,145,0,145,145,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54039,54039,100,164,0,164,164,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54040,54040,100,29,0,29,29,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54041,54041,100,157,0,157,157,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54042,54042,100,185,0,185,185,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54043,54043,100,157,0,157,157,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54044,54044,100,74,0,74,74,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54045,54045,100,143,2,145,143,2,0.9862068965517241,0.013793103448275862,0.9862068965517241,0.013793103448275862,Lizette Colon RECAP,0.9862068965517241
54046,54046,100,180,1,181,180,1,0.994475138121547,0.0055248618784530384,0.994475138121547,0.0055248618784530384,Lizette Colon RECAP,0.994475138121547
54047,54047,100,97,0,97,97,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54048,54048,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54049,54049,100,129,0,129,129,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54050,54050,100,143,0,143,143,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54051,54051,100,151,0,151,151,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54052,54052,100,98,1,99,98,1,0.98989898989899,0.010101010101010102,0.98989898989899,0.010101010101010102,Lizette Colon RECAP,0.98989898989899
54053,54053,100,74,0,74,74,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54054,54054,100,152,1,153,152,1,0.9934640522875817,0.006535947712418301,0.9934640522875817,0.006535947712418301,Lizette Colon RECAP,0.9934640522875817
54055,54055,100,108,0,108,108,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54056,54056,100,126,0,126,126,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54057,54057,100,134,0,134,134,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54058,54058,100,118,0,118,118,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54059,54059,100,140,0,140,140,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54060,54060,100,251,0,251,251,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54061,54061,100,146,0,146,146,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54062,54062,100,115,1,116,115,1,0.9913793103448276,0.008620689655172414,0.9913793103448276,0.008620689655172414,Lizette Colon RECAP,0.9913793103448276
54063,54063,100,155,0,155,155,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54064,54064,100,99,0,99,99,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54065,54065,100,129,0,129,129,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54066,54066,100,40,0,40,40,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54067,54067,100,146,0,146,146,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54068,54068,100,98,0,98,98,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54069,54069,100,104,0,104,104,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54070,54070,100,83,0,83,83,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54071,54071,100,78,1,79,78,1,0.9873417721518988,0.012658227848101266,0.9873417721518988,0.012658227848101266,Lizette Colon RECAP,0.9873417721518988
54072,54072,100,7,0,7,7,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54073,54073,100,131,1,132,131,1,0.9924242424242424,0.007575757575757576,0.9924242424242424,0.007575757575757576,Lizette Colon RECAP,0.9924242424242424
54074,54074,100,111,0,111,111,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54075,54075,100,28,0,28,28,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54077,54077,100,63,0,63,63,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54079,54079,100,48,0,48,48,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55007,55007,100,122,0,122,122,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55008,55008,100,34,0,34,34,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55013,55013,100,8,0,8,8,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55014,55014,100,156,1,157,156,1,0.9936305732484076,0.006369426751592357,0.9936305732484076,0.006369426751592357,Lizette Colon RECAP,0.9936305732484076
55015,55015,100,3,0,3,3,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55040,55040,100,33,0,33,33,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55041,55041,100,59,0,59,59,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55042,55040,100,0,0,0,0,0,0,0,0,0,n/a,0
55043,55041,100,0,0,0,0,0,0,0,0,0,n/a,0
55044,55044,100,3,0,3,3,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55045,55045,100,114,0,114,114,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55046,55046,100,136,0,136,136,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55047,55047,100,60,0,60,60,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55048,55048,100,146,2,148,146,2,0.9864864864864865,0.013513513513513514,0.9864864864864865,0.013513513513513514,Lizette Colon RECAP,0.9864864864864865
55049,55049,100,80,0,80,80,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55050,55050,100,25,0,25,25,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
55106,55106,100,0,0,0,0,0,0,0,0,0,n/a,0
55107,55107,100,0,0,0,0,0,0,0,0,0,n/a,0
60002,60002,100,170,0,170,170,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60003,60003,100,189,0,189,189,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60004,60004,100,123,0,123,123,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60005,60005,100,168,0,168,168,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60006,60006,100,46,0,46,46,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60007,60007,100,244,0,244,244,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60008,60008,100,250,0,250,250,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60009,60009,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60010,60010,100,103,0,103,103,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60011,60011,100,13,0,13,13,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60012,60012,100,97,0,97,97,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60013,60013,100,215,0,215,215,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60014,60014,100,214,0,214,214,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60015,60015,100,101,0,101,101,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60016,60016,100,60,0,60,60,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60017,60017,100,202,0,202,202,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60018,60018,100,101,0,101,101,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60019,60019,100,51,0,51,51,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60020,60020,100,21,0,21,21,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60021,60021,100,146,0,146,146,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60022,60022,100,127,0,127,127,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60023,60023,100,30,0,30,30,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60024,60024,100,111,0,111,111,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60025,60025,100,110,0,110,110,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60026,60026,100,152,0,152,152,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60027,60027,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Lizette Colon RECAP,0.9930555555555556
60028,60028,100,251,0,251,251,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60029,60029,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Lizette Colon RECAP,0.9930555555555556
60030,60030,100,94,0,94,94,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60031,60031,100,124,0,124,124,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60032,60032,100,182,0,182,182,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60033,60033,100,171,2,173,171,2,0.9884393063583815,0.011560693641618497,0.9884393063583815,0.011560693641618497,Lizette Colon RECAP,0.9884393063583815
60034,60034,100,202,2,204,202,2,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,Lizette Colon RECAP,0.9901960784313726
60035,60035,100,204,0,204,204,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60036,60036,100,209,1,210,209,1,0.9952380952380953,0.004761904761904762,0.9952380952380953,0.004761904761904762,Lizette Colon RECAP,0.9952380952380953
60037,60037,100,213,0,213,213,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60038,60038,100,115,0,115,115,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60053,60053,100,147,1,148,147,1,0.9932432432432432,0.006756756756756757,0.9932432432432432,0.006756756756756757,Lizette Colon RECAP,0.9932432432432432
60054,60054,100,183,0,183,183,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60055,60055,100,114,0,114,114,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60056,60056,100,172,0,172,172,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60057,60057,100,207,1,208,207,1,0.9951923076923077,0.004807692307692308,0.9951923076923077,0.004807692307692308,Lizette Colon RECAP,0.9951923076923077
60058,60058,100,121,1,122,121,1,0.9918032786885246,0.00819672131147541,0.9918032786885246,0.00819672131147541,Lizette Colon RECAP,0.9918032786885246
60059,60059,100,81,0,81,81,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60060,60060,100,98,0,98,98,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60061,60061,100,142,0,142,142,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60062,60062,100,203,0,203,203,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60063,60063,100,199,0,199,199,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60064,60064,100,199,0,199,199,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60065,60065,100,181,0,181,181,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60066,60066,100,82,0,82,82,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60067,60067,100,100,0,100,100,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60068,60068,100,108,0,108,108,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60080,60080,100,185,0,185,185,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60081,60081,100,212,0,212,212,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60082,60082,100,336,0,336,336,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60083,60083,100,291,0,291,291,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60084,60084,100,90,0,90,90,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60085,60085,100,187,0,187,187,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
60086,60086,100,76,0,76,76,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
