ED,Reported As,Reporting,Margaret M. Markey (Democratic),Scattered,Total Votes,Margaret M. Markey RECAP,Scattered RECAP,p_Margaret M. Markey (Democratic),p_Scattered,p_Margaret M. Markey RECAP,p_Scattered RECAP,winner,winner_p
30001,30001,100,55,0,55,55,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30002,30002,100,125,1,126,125,1,0.9920634920634921,0.007936507936507936,0.9920634920634921,0.007936507936507936,Margaret M. Markey RECAP,0.9920634920634921
30003,30003,100,3,0,3,3,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30004,30004,100,153,6,159,153,6,0.9622641509433962,0.03773584905660377,0.9622641509433962,0.03773584905660377,Margaret M. Markey RECAP,0.9622641509433962
30005,30005,100,135,1,136,135,1,0.9926470588235294,0.007352941176470588,0.9926470588235294,0.007352941176470588,Margaret M. Markey RECAP,0.9926470588235294
30006,30006,100,157,4,161,157,4,0.9751552795031055,0.024844720496894408,0.9751552795031055,0.024844720496894408,Margaret M. Markey RECAP,0.9751552795031055
30007,30007,100,122,2,124,122,2,0.9838709677419355,0.016129032258064516,0.9838709677419355,0.016129032258064516,Margaret M. Markey RECAP,0.9838709677419355
30008,30008,100,161,4,165,161,4,0.9757575757575757,0.024242424242424242,0.9757575757575757,0.024242424242424242,Margaret M. Markey RECAP,0.9757575757575757
30009,30009,100,148,3,151,148,3,0.9801324503311258,0.019867549668874173,0.9801324503311258,0.019867549668874173,Margaret M. Markey RECAP,0.9801324503311258
30010,30010,100,161,4,165,161,4,0.9757575757575757,0.024242424242424242,0.9757575757575757,0.024242424242424242,Margaret M. Markey RECAP,0.9757575757575757
30011,30011,100,132,4,136,132,4,0.9705882352941176,0.029411764705882353,0.9705882352941176,0.029411764705882353,Margaret M. Markey RECAP,0.9705882352941176
30012,30012,100,136,9,145,136,9,0.9379310344827586,0.06206896551724138,0.9379310344827586,0.06206896551724138,Margaret M. Markey RECAP,0.9379310344827586
30013,30013,100,149,2,151,149,2,0.9867549668874173,0.013245033112582781,0.9867549668874173,0.013245033112582781,Margaret M. Markey RECAP,0.9867549668874173
30014,30014,100,152,3,155,152,3,0.9806451612903225,0.01935483870967742,0.9806451612903225,0.01935483870967742,Margaret M. Markey RECAP,0.9806451612903225
30015,30015,100,78,2,80,78,2,0.975,0.025,0.975,0.025,Margaret M. Markey RECAP,0.975
30016,30016,100,129,5,134,129,5,0.9626865671641791,0.03731343283582089,0.9626865671641791,0.03731343283582089,Margaret M. Markey RECAP,0.9626865671641791
30017,30017,100,144,4,148,144,4,0.972972972972973,0.02702702702702703,0.972972972972973,0.02702702702702703,Margaret M. Markey RECAP,0.972972972972973
30018,30018,100,151,2,153,151,2,0.9869281045751634,0.013071895424836602,0.9869281045751634,0.013071895424836602,Margaret M. Markey RECAP,0.9869281045751634
30019,30019,100,1,0,1,1,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30020,30020,100,79,2,81,79,2,0.9753086419753086,0.024691358024691357,0.9753086419753086,0.024691358024691357,Margaret M. Markey RECAP,0.9753086419753086
30021,30021,100,152,2,154,152,2,0.987012987012987,0.012987012987012988,0.987012987012987,0.012987012987012988,Margaret M. Markey RECAP,0.987012987012987
30022,30022,100,130,0,130,130,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30023,30023,100,153,1,154,153,1,0.9935064935064936,0.006493506493506494,0.9935064935064936,0.006493506493506494,Margaret M. Markey RECAP,0.9935064935064936
30024,30024,100,71,0,71,71,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30025,30025,100,185,6,191,185,6,0.9685863874345549,0.031413612565445025,0.9685863874345549,0.031413612565445025,Margaret M. Markey RECAP,0.9685863874345549
30026,30026,100,139,3,142,139,3,0.9788732394366197,0.02112676056338028,0.9788732394366197,0.02112676056338028,Margaret M. Markey RECAP,0.9788732394366197
30027,30027,100,167,4,171,167,4,0.9766081871345029,0.023391812865497075,0.9766081871345029,0.023391812865497075,Margaret M. Markey RECAP,0.9766081871345029
30028,30028,100,0,0,0,0,0,0,0,0,0,n/a,0
30029,30029,100,11,0,11,11,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30030,30030,100,91,2,93,91,2,0.978494623655914,0.021505376344086023,0.978494623655914,0.021505376344086023,Margaret M. Markey RECAP,0.978494623655914
30031,30031,100,57,1,58,57,1,0.9827586206896551,0.017241379310344827,0.9827586206896551,0.017241379310344827,Margaret M. Markey RECAP,0.9827586206896551
30032,30032,100,23,1,24,23,1,0.9583333333333334,0.041666666666666664,0.9583333333333334,0.041666666666666664,Margaret M. Markey RECAP,0.9583333333333334
30033,30033,100,38,0,38,38,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30034,30034,100,0,0,0,0,0,0,0,0,0,n/a,0
30063,30063,100,58,0,58,58,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30035,30063,100,0,0,0,0,0,0,0,0,0,n/a,0
30036,30036,100,137,1,138,137,1,0.9927536231884058,0.007246376811594203,0.9927536231884058,0.007246376811594203,Margaret M. Markey RECAP,0.9927536231884058
30037,30037,100,130,2,132,130,2,0.9848484848484849,0.015151515151515152,0.9848484848484849,0.015151515151515152,Margaret M. Markey RECAP,0.9848484848484849
30038,30038,100,109,0,109,109,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30039,30039,100,286,3,289,286,3,0.9896193771626297,0.010380622837370242,0.9896193771626297,0.010380622837370242,Margaret M. Markey RECAP,0.9896193771626297
30040,30040,100,225,1,226,225,1,0.995575221238938,0.004424778761061947,0.995575221238938,0.004424778761061947,Margaret M. Markey RECAP,0.995575221238938
30041,30041,100,57,0,57,57,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30042,30042,100,134,2,136,134,2,0.9852941176470589,0.014705882352941176,0.9852941176470589,0.014705882352941176,Margaret M. Markey RECAP,0.9852941176470589
30043,30043,100,196,7,203,196,7,0.9655172413793104,0.034482758620689655,0.9655172413793104,0.034482758620689655,Margaret M. Markey RECAP,0.9655172413793104
30044,30044,100,207,0,207,207,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30045,30045,100,178,4,182,178,4,0.978021978021978,0.02197802197802198,0.978021978021978,0.02197802197802198,Margaret M. Markey RECAP,0.978021978021978
30046,30046,100,198,3,201,198,3,0.9850746268656716,0.014925373134328358,0.9850746268656716,0.014925373134328358,Margaret M. Markey RECAP,0.9850746268656716
30047,30047,100,104,0,104,104,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30048,30048,100,314,1,315,314,1,0.9968253968253968,0.0031746031746031746,0.9968253968253968,0.0031746031746031746,Margaret M. Markey RECAP,0.9968253968253968
30049,30049,100,268,4,272,268,4,0.9852941176470589,0.014705882352941176,0.9852941176470589,0.014705882352941176,Margaret M. Markey RECAP,0.9852941176470589
30050,30050,100,218,3,221,218,3,0.9864253393665159,0.013574660633484163,0.9864253393665159,0.013574660633484163,Margaret M. Markey RECAP,0.9864253393665159
30051,30051,100,199,2,201,199,2,0.9900497512437811,0.009950248756218905,0.9900497512437811,0.009950248756218905,Margaret M. Markey RECAP,0.9900497512437811
30052,30052,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Margaret M. Markey RECAP,0.9930555555555556
30053,30053,100,117,1,118,117,1,0.9915254237288136,0.00847457627118644,0.9915254237288136,0.00847457627118644,Margaret M. Markey RECAP,0.9915254237288136
30054,30054,100,22,0,22,22,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30055,30055,100,100,0,100,100,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30056,30056,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Margaret M. Markey RECAP,0.9930555555555556
30057,30057,100,136,2,138,136,2,0.9855072463768116,0.014492753623188406,0.9855072463768116,0.014492753623188406,Margaret M. Markey RECAP,0.9855072463768116
30058,30058,100,145,1,146,145,1,0.9931506849315068,0.00684931506849315,0.9931506849315068,0.00684931506849315,Margaret M. Markey RECAP,0.9931506849315068
30059,30059,100,78,1,79,78,1,0.9873417721518988,0.012658227848101266,0.9873417721518988,0.012658227848101266,Margaret M. Markey RECAP,0.9873417721518988
30060,30060,100,103,3,106,103,3,0.9716981132075472,0.02830188679245283,0.9716981132075472,0.02830188679245283,Margaret M. Markey RECAP,0.9716981132075472
30061,30061,100,336,4,340,336,4,0.9882352941176471,0.011764705882352941,0.9882352941176471,0.011764705882352941,Margaret M. Markey RECAP,0.9882352941176471
30062,30062,100,74,4,78,74,4,0.9487179487179487,0.05128205128205128,0.9487179487179487,0.05128205128205128,Margaret M. Markey RECAP,0.9487179487179487
30064,30064,100,150,1,151,150,1,0.9933774834437086,0.006622516556291391,0.9933774834437086,0.006622516556291391,Margaret M. Markey RECAP,0.9933774834437086
30065,30065,100,269,3,272,269,3,0.9889705882352942,0.011029411764705883,0.9889705882352942,0.011029411764705883,Margaret M. Markey RECAP,0.9889705882352942
30066,30066,100,196,2,198,196,2,0.98989898989899,0.010101010101010102,0.98989898989899,0.010101010101010102,Margaret M. Markey RECAP,0.98989898989899
30067,30067,100,218,1,219,218,1,0.9954337899543378,0.0045662100456621,0.9954337899543378,0.0045662100456621,Margaret M. Markey RECAP,0.9954337899543378
30068,30068,100,107,2,109,107,2,0.981651376146789,0.01834862385321101,0.981651376146789,0.01834862385321101,Margaret M. Markey RECAP,0.981651376146789
30069,30069,100,172,1,173,172,1,0.9942196531791907,0.005780346820809248,0.9942196531791907,0.005780346820809248,Margaret M. Markey RECAP,0.9942196531791907
30070,30070,100,0,0,0,0,0,0,0,0,0,n/a,0
30071,30071,100,0,0,0,0,0,0,0,0,0,n/a,0
30072,30024,100,0,0,0,0,0,0,0,0,0,n/a,0
