ED,Reported As,Reporting,Jeffrion L. Aubry (Democratic),Scattered,Total Votes,Jeffrion L. Aubry RECAP,Scattered RECAP,p_Jeffrion L. Aubry (Democratic),p_Scattered,p_Jeffrion L. Aubry RECAP,p_Scattered RECAP,winner,winner_p
35001,35001,100,27,1,28,27,1,0.9642857142857143,0.03571428571428571,0.9642857142857143,0.03571428571428571,Jeffrion L. Aubry RECAP,0.9642857142857143
35002,35002,100,86,8,94,86,8,0.9148936170212766,0.0851063829787234,0.9148936170212766,0.0851063829787234,Jeffrion L. Aubry RECAP,0.9148936170212766
35003,35003,100,96,2,98,96,2,0.9795918367346939,0.02040816326530612,0.9795918367346939,0.02040816326530612,Jeffrion L. Aubry RECAP,0.9795918367346939
35004,35004,100,72,0,72,72,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35005,35005,100,124,2,126,124,2,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.015873015873015872,Jeffrion L. Aubry RECAP,0.9841269841269841
35006,35006,100,105,1,106,105,1,0.9905660377358491,0.009433962264150943,0.9905660377358491,0.009433962264150943,Jeffrion L. Aubry RECAP,0.9905660377358491
35007,35007,100,124,2,126,124,2,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.015873015873015872,Jeffrion L. Aubry RECAP,0.9841269841269841
35008,35008,100,83,2,85,83,2,0.9764705882352941,0.023529411764705882,0.9764705882352941,0.023529411764705882,Jeffrion L. Aubry RECAP,0.9764705882352941
35009,35009,100,153,2,155,153,2,0.9870967741935484,0.012903225806451613,0.9870967741935484,0.012903225806451613,Jeffrion L. Aubry RECAP,0.9870967741935484
35010,35010,100,167,0,167,167,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35011,35011,100,106,0,106,106,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35012,35012,100,140,0,140,140,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35013,35013,100,128,0,128,128,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35014,35014,100,103,0,103,103,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35015,35015,100,247,0,247,247,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35016,35016,100,224,0,224,224,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35017,35017,100,221,1,222,221,1,0.9954954954954955,0.0045045045045045045,0.9954954954954955,0.0045045045045045045,Jeffrion L. Aubry RECAP,0.9954954954954955
35018,35018,100,276,0,276,276,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35019,35019,100,182,2,184,182,2,0.9891304347826086,0.010869565217391304,0.9891304347826086,0.010869565217391304,Jeffrion L. Aubry RECAP,0.9891304347826086
35020,35020,100,278,0,278,278,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35021,35021,100,263,1,264,263,1,0.9962121212121212,0.003787878787878788,0.9962121212121212,0.003787878787878788,Jeffrion L. Aubry RECAP,0.9962121212121212
35022,35022,100,89,0,89,89,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35023,35023,100,167,0,167,167,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35024,35024,100,126,2,128,126,2,0.984375,0.015625,0.984375,0.015625,Jeffrion L. Aubry RECAP,0.984375
35025,35025,100,306,0,306,306,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35026,35026,100,108,0,108,108,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35027,35027,100,133,0,133,133,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35028,35028,100,32,0,32,32,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35029,35029,100,2,0,2,2,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35030,35030,100,38,2,40,38,2,0.95,0.05,0.95,0.05,Jeffrion L. Aubry RECAP,0.95
35034,35034,100,27,0,27,27,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35031,35034,100,0,0,0,0,0,0,0,0,0,n/a,0
35032,35032,100,91,0,91,91,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35033,35033,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35035,35035,100,109,0,109,109,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35036,35036,100,13,0,13,13,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35037,35037,100,84,0,84,84,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35038,35038,100,124,0,124,124,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35039,35039,100,213,0,213,213,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35040,35040,100,131,0,131,131,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35041,35041,100,217,0,217,217,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35042,35042,100,125,0,125,125,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35043,35043,100,189,0,189,189,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35044,35044,100,145,0,145,145,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35045,35045,100,238,0,238,238,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35046,35046,100,153,0,153,153,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35047,35047,100,149,0,149,149,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35048,35048,100,272,0,272,272,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35049,35049,100,39,0,39,39,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35050,35050,100,131,0,131,131,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35051,35051,100,190,1,191,190,1,0.9947643979057592,0.005235602094240838,0.9947643979057592,0.005235602094240838,Jeffrion L. Aubry RECAP,0.9947643979057592
35052,35052,100,260,0,260,260,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35053,35053,100,251,0,251,251,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35054,35054,100,0,0,0,0,0,0,0,0,0,n/a,0
35055,35055,100,0,0,0,0,0,0,0,0,0,n/a,0
35056,35056,100,0,0,0,0,0,0,0,0,0,n/a,0
35057,35035,100,0,0,0,0,0,0,0,0,0,n/a,0
35058,35035,100,0,0,0,0,0,0,0,0,0,n/a,0
35059,35059,100,0,0,0,0,0,0,0,0,0,n/a,0
35060,35056,100,0,0,0,0,0,0,0,0,0,n/a,0
35061,35061,100,0,0,0,0,0,0,0,0,0,n/a,0
35062,35055,100,0,0,0,0,0,0,0,0,0,n/a,0
