ED,Reported As,Reporting,Grant M. Lally (Republican),Steve J. Israel (Working Families),Grant M. Lally (Conservative/Libertarian),Steve J. Israel (Democratic),Scattered,Steve J. Israel (Independence),Total Votes,Grant M. Lally RECAP,Steve J. Israel RECAP,Scattered RECAP,p_Grant M. Lally (Republican),p_Steve J. Israel (Working Families),p_Grant M. Lally (Conservative/Libertarian),p_Steve J. Israel (Democratic),p_Scattered,p_Steve J. Israel (Independence),p_Grant M. Lally RECAP,p_Steve J. Israel RECAP,p_Scattered RECAP,winner,winner_p
24001,24001,100,52,4,4,108,0,9,177,56,121,0,0.2937853107344633,0.022598870056497175,0.022598870056497175,0.6101694915254238,0.0,0.05084745762711865,0.3163841807909605,0.6836158192090396,0.0,Steve J. Israel RECAP,0.6836158192090396
24002,24002,100,71,24,13,189,0,5,302,84,218,0,0.23509933774834438,0.07947019867549669,0.04304635761589404,0.6258278145695364,0.0,0.016556291390728478,0.2781456953642384,0.7218543046357616,0.0,Steve J. Israel RECAP,0.7218543046357616
24003,24003,100,45,9,14,136,0,8,212,59,153,0,0.21226415094339623,0.04245283018867924,0.0660377358490566,0.6415094339622641,0.0,0.03773584905660377,0.2783018867924528,0.7216981132075472,0.0,Steve J. Israel RECAP,0.7216981132075472
24004,24004,100,31,6,4,86,0,4,131,35,96,0,0.2366412213740458,0.04580152671755725,0.030534351145038167,0.6564885496183206,0.0,0.030534351145038167,0.26717557251908397,0.732824427480916,0.0,Steve J. Israel RECAP,0.732824427480916
24005,24005,100,53,9,18,179,1,4,264,71,192,1,0.20075757575757575,0.03409090909090909,0.06818181818181818,0.678030303030303,0.003787878787878788,0.015151515151515152,0.2689393939393939,0.7272727272727273,0.003787878787878788,Steve J. Israel RECAP,0.7272727272727273
24006,24006,100,78,7,16,131,0,4,236,94,142,0,0.3305084745762712,0.029661016949152543,0.06779661016949153,0.5550847457627118,0.0,0.01694915254237288,0.3983050847457627,0.6016949152542372,0.0,Steve J. Israel RECAP,0.6016949152542372
24007,24007,100,22,5,4,111,0,5,147,26,121,0,0.14965986394557823,0.034013605442176874,0.027210884353741496,0.7551020408163265,0.0,0.034013605442176874,0.17687074829931973,0.8231292517006803,0.0,Steve J. Israel RECAP,0.8231292517006803
24008,24008,100,8,2,2,37,0,0,49,10,39,0,0.16326530612244897,0.04081632653061224,0.04081632653061224,0.7551020408163265,0.0,0.0,0.20408163265306123,0.7959183673469388,0.0,Steve J. Israel RECAP,0.7959183673469388
24009,24009,100,1,0,0,5,0,0,6,1,5,0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,Steve J. Israel RECAP,0.8333333333333334
24010,24010,100,32,4,9,48,0,8,101,41,60,0,0.31683168316831684,0.039603960396039604,0.0891089108910891,0.4752475247524752,0.0,0.07920792079207921,0.40594059405940597,0.594059405940594,0.0,Steve J. Israel RECAP,0.594059405940594
24011,24011,100,36,5,6,79,0,2,128,42,86,0,0.28125,0.0390625,0.046875,0.6171875,0.0,0.015625,0.328125,0.671875,0.0,Steve J. Israel RECAP,0.671875
24012,24012,100,4,1,1,13,0,1,20,5,15,0,0.2,0.05,0.05,0.65,0.0,0.05,0.25,0.75,0.0,Steve J. Israel RECAP,0.75
24013,24013,100,34,7,6,155,0,4,206,40,166,0,0.1650485436893204,0.03398058252427184,0.02912621359223301,0.7524271844660194,0.0,0.019417475728155338,0.1941747572815534,0.8058252427184466,0.0,Steve J. Israel RECAP,0.8058252427184466
24014,24014,100,29,7,11,114,0,7,168,40,128,0,0.17261904761904762,0.041666666666666664,0.06547619047619048,0.6785714285714286,0.0,0.041666666666666664,0.23809523809523808,0.7619047619047619,0.0,Steve J. Israel RECAP,0.7619047619047619
24015,24015,100,48,8,6,99,0,3,164,54,110,0,0.2926829268292683,0.04878048780487805,0.036585365853658534,0.6036585365853658,0.0,0.018292682926829267,0.32926829268292684,0.6707317073170732,0.0,Steve J. Israel RECAP,0.6707317073170732
24061,24061,100,46,12,7,102,0,4,171,53,118,0,0.26900584795321636,0.07017543859649122,0.04093567251461988,0.5964912280701754,0.0,0.023391812865497075,0.30994152046783624,0.6900584795321637,0.0,Steve J. Israel RECAP,0.6900584795321637
25025,25025,100,70,6,10,137,0,6,229,80,149,0,0.3056768558951965,0.026200873362445413,0.043668122270742356,0.5982532751091703,0.0,0.026200873362445413,0.34934497816593885,0.6506550218340611,0.0,Steve J. Israel RECAP,0.6506550218340611
25058,25058,100,66,2,18,132,0,7,225,84,141,0,0.29333333333333333,0.008888888888888889,0.08,0.5866666666666667,0.0,0.03111111111111111,0.37333333333333335,0.6266666666666667,0.0,Steve J. Israel RECAP,0.6266666666666667
26003,26003,100,116,12,24,133,0,6,291,140,151,0,0.39862542955326463,0.041237113402061855,0.08247422680412371,0.4570446735395189,0.0,0.020618556701030927,0.48109965635738833,0.5189003436426117,0.0,Steve J. Israel RECAP,0.5189003436426117
26004,26004,100,101,14,11,104,0,4,234,112,122,0,0.43162393162393164,0.05982905982905983,0.04700854700854701,0.4444444444444444,0.0,0.017094017094017096,0.47863247863247865,0.5213675213675214,0.0,Steve J. Israel RECAP,0.5213675213675214
26005,26005,100,103,13,21,117,0,6,260,124,136,0,0.39615384615384613,0.05,0.08076923076923077,0.45,0.0,0.023076923076923078,0.47692307692307695,0.5230769230769231,0.0,Steve J. Israel RECAP,0.5230769230769231
26006,26006,100,70,4,19,93,0,1,187,89,98,0,0.37433155080213903,0.0213903743315508,0.10160427807486631,0.49732620320855614,0.0,0.0053475935828877,0.47593582887700536,0.5240641711229946,0.0,Steve J. Israel RECAP,0.5240641711229946
26007,26007,100,59,5,9,83,0,0,156,68,88,0,0.3782051282051282,0.03205128205128205,0.057692307692307696,0.532051282051282,0.0,0.0,0.4358974358974359,0.5641025641025641,0.0,Steve J. Israel RECAP,0.5641025641025641
26008,26008,100,99,17,24,182,0,12,334,123,211,0,0.2964071856287425,0.05089820359281437,0.0718562874251497,0.5449101796407185,0.0,0.03592814371257485,0.36826347305389223,0.6317365269461078,0.0,Steve J. Israel RECAP,0.6317365269461078
26009,26009,100,102,16,20,167,1,13,319,122,196,1,0.31974921630094044,0.050156739811912224,0.06269592476489028,0.5235109717868338,0.003134796238244514,0.04075235109717868,0.3824451410658307,0.6144200626959248,0.003134796238244514,Steve J. Israel RECAP,0.6144200626959248
26010,26010,100,91,8,16,168,0,6,289,107,182,0,0.314878892733564,0.02768166089965398,0.05536332179930796,0.5813148788927336,0.0,0.020761245674740483,0.370242214532872,0.629757785467128,0.0,Steve J. Israel RECAP,0.629757785467128
26011,26011,100,107,4,21,88,0,9,229,128,101,0,0.4672489082969432,0.017467248908296942,0.09170305676855896,0.38427947598253276,0.0,0.039301310043668124,0.5589519650655022,0.4410480349344978,0.0,Grant M. Lally RECAP,0.5589519650655022
26012,26012,100,106,10,14,75,0,5,210,120,90,0,0.5047619047619047,0.047619047619047616,0.06666666666666667,0.35714285714285715,0.0,0.023809523809523808,0.5714285714285714,0.42857142857142855,0.0,Grant M. Lally RECAP,0.5714285714285714
26013,26013,100,112,9,19,123,0,8,271,131,140,0,0.4132841328413284,0.033210332103321034,0.07011070110701106,0.45387453874538747,0.0,0.02952029520295203,0.4833948339483395,0.5166051660516605,0.0,Steve J. Israel RECAP,0.5166051660516605
26014,26014,100,116,10,23,91,0,3,243,139,104,0,0.4773662551440329,0.0411522633744856,0.09465020576131687,0.37448559670781895,0.0,0.012345679012345678,0.5720164609053497,0.4279835390946502,0.0,Grant M. Lally RECAP,0.5720164609053497
26015,26015,100,80,11,9,183,0,6,289,89,200,0,0.2768166089965398,0.03806228373702422,0.031141868512110725,0.6332179930795848,0.0,0.020761245674740483,0.3079584775086505,0.6920415224913494,0.0,Steve J. Israel RECAP,0.6920415224913494
26016,26016,100,137,14,16,270,1,8,446,153,292,1,0.3071748878923767,0.03139013452914798,0.03587443946188341,0.6053811659192825,0.002242152466367713,0.017937219730941704,0.3430493273542601,0.6547085201793722,0.002242152466367713,Steve J. Israel RECAP,0.6547085201793722
26017,26017,100,123,11,21,140,0,10,305,144,161,0,0.40327868852459015,0.036065573770491806,0.06885245901639345,0.45901639344262296,0.0,0.03278688524590164,0.4721311475409836,0.5278688524590164,0.0,Steve J. Israel RECAP,0.5278688524590164
26018,26018,100,112,1,15,56,0,3,187,127,60,0,0.5989304812834224,0.0053475935828877,0.08021390374331551,0.2994652406417112,0.0,0.016042780748663103,0.679144385026738,0.32085561497326204,0.0,Grant M. Lally RECAP,0.679144385026738
26019,26019,100,91,13,7,180,0,6,297,98,199,0,0.3063973063973064,0.04377104377104377,0.02356902356902357,0.6060606060606061,0.0,0.020202020202020204,0.32996632996632996,0.67003367003367,0.0,Steve J. Israel RECAP,0.67003367003367
26020,26020,100,80,4,12,235,0,6,337,92,245,0,0.23738872403560832,0.011869436201780416,0.03560830860534125,0.6973293768545994,0.0,0.017804154302670624,0.27299703264094954,0.7270029673590505,0.0,Steve J. Israel RECAP,0.7270029673590505
26021,26021,100,64,4,10,168,0,8,254,74,180,0,0.25196850393700787,0.015748031496062992,0.03937007874015748,0.6614173228346457,0.0,0.031496062992125984,0.29133858267716534,0.7086614173228346,0.0,Steve J. Israel RECAP,0.7086614173228346
26022,26022,100,90,14,13,229,1,9,356,103,252,1,0.25280898876404495,0.03932584269662921,0.03651685393258427,0.6432584269662921,0.0028089887640449437,0.025280898876404494,0.2893258426966292,0.7078651685393258,0.0028089887640449437,Steve J. Israel RECAP,0.7078651685393258
26023,26023,100,79,11,10,281,0,5,386,89,297,0,0.20466321243523317,0.02849740932642487,0.025906735751295335,0.727979274611399,0.0,0.012953367875647668,0.23056994818652848,0.7694300518134715,0.0,Steve J. Israel RECAP,0.7694300518134715
26024,26024,100,58,10,9,231,0,5,313,67,246,0,0.1853035143769968,0.03194888178913738,0.02875399361022364,0.7380191693290735,0.0,0.01597444089456869,0.21405750798722045,0.7859424920127795,0.0,Steve J. Israel RECAP,0.7859424920127795
26025,26025,100,74,6,12,181,0,5,278,86,192,0,0.26618705035971224,0.02158273381294964,0.04316546762589928,0.6510791366906474,0.0,0.017985611510791366,0.30935251798561153,0.6906474820143885,0.0,Steve J. Israel RECAP,0.6906474820143885
26026,26026,100,24,8,5,136,1,4,178,29,148,1,0.1348314606741573,0.0449438202247191,0.028089887640449437,0.7640449438202247,0.0056179775280898875,0.02247191011235955,0.16292134831460675,0.8314606741573034,0.0056179775280898875,Steve J. Israel RECAP,0.8314606741573034
26027,26027,100,79,7,12,211,1,8,318,91,226,1,0.24842767295597484,0.0220125786163522,0.03773584905660377,0.6635220125786163,0.0031446540880503146,0.025157232704402517,0.2861635220125786,0.710691823899371,0.0031446540880503146,Steve J. Israel RECAP,0.710691823899371
26028,26028,100,132,7,16,133,0,7,295,148,147,0,0.44745762711864406,0.023728813559322035,0.05423728813559322,0.45084745762711864,0.0,0.023728813559322035,0.5016949152542373,0.49830508474576274,0.0,Grant M. Lally RECAP,0.5016949152542373
26029,26029,100,165,15,15,126,0,10,331,180,151,0,0.4984894259818731,0.045317220543806644,0.045317220543806644,0.3806646525679758,0.0,0.030211480362537766,0.5438066465256798,0.4561933534743202,0.0,Grant M. Lally RECAP,0.5438066465256798
26030,26030,100,155,16,24,180,0,11,386,179,207,0,0.4015544041450777,0.04145077720207254,0.06217616580310881,0.46632124352331605,0.0,0.02849740932642487,0.4637305699481865,0.5362694300518135,0.0,Steve J. Israel RECAP,0.5362694300518135
26031,26031,100,165,20,38,161,0,9,393,203,190,0,0.4198473282442748,0.05089058524173028,0.09669211195928754,0.40966921119592875,0.0,0.022900763358778626,0.5165394402035624,0.48346055979643765,0.0,Grant M. Lally RECAP,0.5165394402035624
26032,26032,100,106,14,19,145,0,8,292,125,167,0,0.363013698630137,0.04794520547945205,0.06506849315068493,0.4965753424657534,0.0,0.0273972602739726,0.4280821917808219,0.571917808219178,0.0,Steve J. Israel RECAP,0.571917808219178
26033,26033,100,136,21,33,175,0,10,375,169,206,0,0.3626666666666667,0.056,0.088,0.4666666666666667,0.0,0.02666666666666667,0.45066666666666666,0.5493333333333333,0.0,Steve J. Israel RECAP,0.5493333333333333
26034,26034,100,62,9,16,74,0,6,167,78,89,0,0.3712574850299401,0.05389221556886228,0.09580838323353294,0.4431137724550898,0.0,0.03592814371257485,0.46706586826347307,0.5329341317365269,0.0,Steve J. Israel RECAP,0.5329341317365269
26035,26035,100,114,13,15,138,1,10,291,129,161,1,0.3917525773195876,0.044673539518900345,0.05154639175257732,0.4742268041237113,0.003436426116838488,0.03436426116838488,0.44329896907216493,0.5532646048109966,0.003436426116838488,Steve J. Israel RECAP,0.5532646048109966
26045,26045,100,81,13,15,217,0,7,333,96,237,0,0.24324324324324326,0.03903903903903904,0.04504504504504504,0.6516516516516516,0.0,0.021021021021021023,0.2882882882882883,0.7117117117117117,0.0,Steve J. Israel RECAP,0.7117117117117117
26046,26046,100,92,13,17,217,0,8,347,109,238,0,0.26512968299711814,0.037463976945244955,0.04899135446685879,0.6253602305475504,0.0,0.023054755043227664,0.31412103746397696,0.6858789625360231,0.0,Steve J. Israel RECAP,0.6858789625360231
26047,26047,100,80,22,10,273,0,13,398,90,308,0,0.20100502512562815,0.05527638190954774,0.02512562814070352,0.6859296482412061,0.0,0.032663316582914576,0.22613065326633167,0.7738693467336684,0.0,Steve J. Israel RECAP,0.7738693467336684
26048,26048,100,60,2,9,92,0,2,165,69,96,0,0.36363636363636365,0.012121212121212121,0.05454545454545454,0.5575757575757576,0.0,0.012121212121212121,0.41818181818181815,0.5818181818181818,0.0,Steve J. Israel RECAP,0.5818181818181818
26049,26049,100,63,11,9,97,0,3,183,72,111,0,0.3442622950819672,0.060109289617486336,0.04918032786885246,0.5300546448087432,0.0,0.01639344262295082,0.39344262295081966,0.6065573770491803,0.0,Steve J. Israel RECAP,0.6065573770491803
26071,26071,100,47,7,5,301,0,9,369,52,317,0,0.12737127371273713,0.018970189701897018,0.013550135501355014,0.8157181571815718,0.0,0.024390243902439025,0.14092140921409213,0.8590785907859079,0.0,Steve J. Israel RECAP,0.8590785907859079
26072,26072,100,81,9,18,155,0,5,268,99,169,0,0.30223880597014924,0.033582089552238806,0.06716417910447761,0.5783582089552238,0.0,0.018656716417910446,0.3694029850746269,0.6305970149253731,0.0,Steve J. Israel RECAP,0.6305970149253731
26073,26073,100,99,16,5,584,0,16,720,104,616,0,0.1375,0.022222222222222223,0.006944444444444444,0.8111111111111111,0.0,0.022222222222222223,0.14444444444444443,0.8555555555555555,0.0,Steve J. Israel RECAP,0.8555555555555555
26074,26074,100,39,8,6,111,0,1,165,45,120,0,0.23636363636363636,0.048484848484848485,0.03636363636363636,0.6727272727272727,0.0,0.006060606060606061,0.2727272727272727,0.7272727272727273,0.0,Steve J. Israel RECAP,0.7272727272727273
26075,26075,100,67,12,13,139,0,0,231,80,151,0,0.29004329004329005,0.05194805194805195,0.05627705627705628,0.6017316017316018,0.0,0.0,0.3463203463203463,0.6536796536796536,0.0,Steve J. Israel RECAP,0.6536796536796536
26076,26076,100,62,6,6,123,0,8,205,68,137,0,0.3024390243902439,0.02926829268292683,0.02926829268292683,0.6,0.0,0.03902439024390244,0.33170731707317075,0.6682926829268293,0.0,Steve J. Israel RECAP,0.6682926829268293
26077,26077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
26078,26078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27023,27023,100,134,2,15,78,0,2,231,149,82,0,0.5800865800865801,0.008658008658008658,0.06493506493506493,0.33766233766233766,0.0,0.008658008658008658,0.645021645021645,0.354978354978355,0.0,Grant M. Lally RECAP,0.645021645021645
27051,27051,100,124,5,30,104,0,1,264,154,110,0,0.4696969696969697,0.01893939393939394,0.11363636363636363,0.3939393939393939,0.0,0.003787878787878788,0.5833333333333334,0.4166666666666667,0.0,Grant M. Lally RECAP,0.5833333333333334
27076,27076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
33001,33001,100,92,3,19,127,0,5,246,111,135,0,0.37398373983739835,0.012195121951219513,0.07723577235772358,0.516260162601626,0.0,0.02032520325203252,0.45121951219512196,0.5487804878048781,0.0,Steve J. Israel RECAP,0.5487804878048781
33002,33002,100,92,12,23,134,0,10,271,115,156,0,0.33948339483394835,0.04428044280442804,0.08487084870848709,0.4944649446494465,0.0,0.03690036900369004,0.42435424354243545,0.5756457564575646,0.0,Steve J. Israel RECAP,0.5756457564575646
33003,33003,100,67,6,19,158,0,3,253,86,167,0,0.2648221343873518,0.023715415019762844,0.07509881422924901,0.6245059288537549,0.0,0.011857707509881422,0.33992094861660077,0.6600790513833992,0.0,Steve J. Israel RECAP,0.6600790513833992
33004,33004,100,67,9,24,145,0,3,248,91,157,0,0.2701612903225806,0.036290322580645164,0.0967741935483871,0.5846774193548387,0.0,0.012096774193548387,0.36693548387096775,0.6330645161290323,0.0,Steve J. Israel RECAP,0.6330645161290323
33005,33005,100,89,12,11,153,0,5,270,100,170,0,0.3296296296296296,0.044444444444444446,0.040740740740740744,0.5666666666666667,0.0,0.018518518518518517,0.37037037037037035,0.6296296296296297,0.0,Steve J. Israel RECAP,0.6296296296296297
33006,33006,100,86,5,25,147,0,7,270,111,159,0,0.31851851851851853,0.018518518518518517,0.09259259259259259,0.5444444444444444,0.0,0.025925925925925925,0.4111111111111111,0.5888888888888889,0.0,Steve J. Israel RECAP,0.5888888888888889
33007,33007,100,98,6,22,130,0,7,263,120,143,0,0.3726235741444867,0.022813688212927757,0.08365019011406843,0.49429657794676807,0.0,0.026615969581749048,0.45627376425855515,0.5437262357414449,0.0,Steve J. Israel RECAP,0.5437262357414449
33008,33008,100,48,5,12,86,0,3,154,60,94,0,0.3116883116883117,0.032467532467532464,0.07792207792207792,0.5584415584415584,0.0,0.01948051948051948,0.38961038961038963,0.6103896103896104,0.0,Steve J. Israel RECAP,0.6103896103896104
33009,33009,100,81,15,26,113,0,7,242,107,135,0,0.3347107438016529,0.06198347107438017,0.10743801652892562,0.4669421487603306,0.0,0.028925619834710745,0.44214876033057854,0.5578512396694215,0.0,Steve J. Israel RECAP,0.5578512396694215
33010,33010,100,45,4,16,85,0,2,152,61,91,0,0.29605263157894735,0.02631578947368421,0.10526315789473684,0.5592105263157895,0.0,0.013157894736842105,0.40131578947368424,0.5986842105263158,0.0,Steve J. Israel RECAP,0.5986842105263158
33011,33011,100,61,9,9,106,0,5,190,70,120,0,0.32105263157894737,0.04736842105263158,0.04736842105263158,0.5578947368421052,0.0,0.02631578947368421,0.3684210526315789,0.631578947368421,0.0,Steve J. Israel RECAP,0.631578947368421
33012,33012,100,103,12,12,143,0,1,271,115,156,0,0.3800738007380074,0.04428044280442804,0.04428044280442804,0.5276752767527675,0.0,0.0036900369003690036,0.42435424354243545,0.5756457564575646,0.0,Steve J. Israel RECAP,0.5756457564575646
40001,40001,100,105,3,24,92,2,1,227,129,96,2,0.46255506607929514,0.013215859030837005,0.10572687224669604,0.4052863436123348,0.00881057268722467,0.004405286343612335,0.5682819383259912,0.42290748898678415,0.00881057268722467,Grant M. Lally RECAP,0.5682819383259912
40002,40002,100,87,5,12,79,0,4,187,99,88,0,0.46524064171123,0.026737967914438502,0.06417112299465241,0.42245989304812837,0.0,0.0213903743315508,0.5294117647058824,0.47058823529411764,0.0,Grant M. Lally RECAP,0.5294117647058824
40010,40010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
