ED,Reported As,Reporting,Tony Avella (Democratic),Tony Avella (Independence),Paul Gilman (Green),Scattered,Total Votes,Tony Avella RECAP,Paul Gilman RECAP,Scattered RECAP,p_Tony Avella (Democratic),p_Tony Avella (Independence),p_Paul Gilman (Green),p_Scattered,p_Tony Avella RECAP,p_Paul Gilman RECAP,p_Scattered RECAP,winner,winner_p
26031,26031,100,212,45,35,1,293,257,35,1,0.7235494880546075,0.15358361774744028,0.11945392491467577,0.0034129692832764505,0.8771331058020477,0.11945392491467577,0.0034129692832764505,Tony Avella RECAP,0.8771331058020477
26032,26032,100,198,31,30,2,261,229,30,2,0.7586206896551724,0.11877394636015326,0.11494252873563218,0.007662835249042145,0.8773946360153256,0.11494252873563218,0.007662835249042145,Tony Avella RECAP,0.8773946360153256
26033,26033,100,221,45,40,5,311,266,40,5,0.7106109324758842,0.14469453376205788,0.12861736334405144,0.01607717041800643,0.8553054662379421,0.12861736334405144,0.01607717041800643,Tony Avella RECAP,0.8553054662379421
26034,26034,100,103,19,12,0,134,122,12,0,0.7686567164179104,0.1417910447761194,0.08955223880597014,0.0,0.9104477611940298,0.08955223880597014,0.0,Tony Avella RECAP,0.9104477611940298
26035,26035,100,176,31,20,1,228,207,20,1,0.7719298245614035,0.13596491228070176,0.08771929824561403,0.0043859649122807015,0.9078947368421053,0.08771929824561403,0.0043859649122807015,Tony Avella RECAP,0.9078947368421053
26036,26036,100,69,4,6,0,79,73,6,0,0.8734177215189873,0.05063291139240506,0.0759493670886076,0.0,0.9240506329113924,0.0759493670886076,0.0,Tony Avella RECAP,0.9240506329113924
26037,26037,100,165,20,22,0,207,185,22,0,0.7971014492753623,0.0966183574879227,0.10628019323671498,0.0,0.893719806763285,0.10628019323671498,0.0,Tony Avella RECAP,0.893719806763285
26038,26038,100,17,1,0,0,18,18,0,0,0.9444444444444444,0.05555555555555555,0.0,0.0,1.0,0.0,0.0,Tony Avella RECAP,1.0
26042,26042,100,107,15,9,1,132,122,9,1,0.8106060606060606,0.11363636363636363,0.06818181818181818,0.007575757575757576,0.9242424242424242,0.06818181818181818,0.007575757575757576,Tony Avella RECAP,0.9242424242424242
26043,26043,100,68,10,8,2,88,78,8,2,0.7727272727272727,0.11363636363636363,0.09090909090909091,0.022727272727272728,0.8863636363636364,0.09090909090909091,0.022727272727272728,Tony Avella RECAP,0.8863636363636364
26045,26045,100,237,28,29,0,294,265,29,0,0.8061224489795918,0.09523809523809523,0.09863945578231292,0.0,0.9013605442176871,0.09863945578231292,0.0,Tony Avella RECAP,0.9013605442176871
26046,26046,100,241,31,18,0,290,272,18,0,0.8310344827586207,0.10689655172413794,0.06206896551724138,0.0,0.9379310344827586,0.06206896551724138,0.0,Tony Avella RECAP,0.9379310344827586
26047,26047,100,303,26,17,0,346,329,17,0,0.8757225433526011,0.07514450867052024,0.049132947976878616,0.0,0.9508670520231214,0.049132947976878616,0.0,Tony Avella RECAP,0.9508670520231214
26048,26048,100,102,15,21,1,139,117,21,1,0.7338129496402878,0.1079136690647482,0.1510791366906475,0.007194244604316547,0.841726618705036,0.1510791366906475,0.007194244604316547,Tony Avella RECAP,0.841726618705036
26049,26049,100,119,19,16,0,154,138,16,0,0.7727272727272727,0.12337662337662338,0.1038961038961039,0.0,0.8961038961038961,0.1038961038961039,0.0,Tony Avella RECAP,0.8961038961038961
26050,26050,100,156,20,20,1,197,176,20,1,0.7918781725888325,0.10152284263959391,0.10152284263959391,0.005076142131979695,0.8934010152284264,0.10152284263959391,0.005076142131979695,Tony Avella RECAP,0.8934010152284264
26051,26051,100,97,10,3,2,112,107,3,2,0.8660714285714286,0.08928571428571429,0.026785714285714284,0.017857142857142856,0.9553571428571429,0.026785714285714284,0.017857142857142856,Tony Avella RECAP,0.9553571428571429
26052,26052,100,131,13,19,0,163,144,19,0,0.803680981595092,0.07975460122699386,0.1165644171779141,0.0,0.8834355828220859,0.1165644171779141,0.0,Tony Avella RECAP,0.8834355828220859
26053,26053,100,173,20,12,0,205,193,12,0,0.8439024390243902,0.0975609756097561,0.05853658536585366,0.0,0.9414634146341463,0.05853658536585366,0.0,Tony Avella RECAP,0.9414634146341463
26054,26054,100,134,26,15,0,175,160,15,0,0.7657142857142857,0.14857142857142858,0.08571428571428572,0.0,0.9142857142857143,0.08571428571428572,0.0,Tony Avella RECAP,0.9142857142857143
26055,26055,100,104,15,15,1,135,119,15,1,0.7703703703703704,0.1111111111111111,0.1111111111111111,0.007407407407407408,0.8814814814814815,0.1111111111111111,0.007407407407407408,Tony Avella RECAP,0.8814814814814815
26056,26056,100,210,36,25,1,272,246,25,1,0.7720588235294118,0.1323529411764706,0.09191176470588236,0.003676470588235294,0.9044117647058824,0.09191176470588236,0.003676470588235294,Tony Avella RECAP,0.9044117647058824
26057,26057,100,226,36,25,0,287,262,25,0,0.7874564459930313,0.1254355400696864,0.08710801393728224,0.0,0.9128919860627178,0.08710801393728224,0.0,Tony Avella RECAP,0.9128919860627178
26058,26058,100,163,36,11,0,210,199,11,0,0.7761904761904762,0.17142857142857143,0.05238095238095238,0.0,0.9476190476190476,0.05238095238095238,0.0,Tony Avella RECAP,0.9476190476190476
26059,26059,100,214,33,33,0,280,247,33,0,0.7642857142857142,0.11785714285714285,0.11785714285714285,0.0,0.8821428571428571,0.11785714285714285,0.0,Tony Avella RECAP,0.8821428571428571
26060,26060,100,172,30,25,3,230,202,25,3,0.7478260869565218,0.13043478260869565,0.10869565217391304,0.013043478260869565,0.8782608695652174,0.10869565217391304,0.013043478260869565,Tony Avella RECAP,0.8782608695652174
26061,26061,100,154,25,16,0,195,179,16,0,0.7897435897435897,0.1282051282051282,0.08205128205128205,0.0,0.9179487179487179,0.08205128205128205,0.0,Tony Avella RECAP,0.9179487179487179
26062,26062,100,162,16,25,0,203,178,25,0,0.7980295566502463,0.07881773399014778,0.12315270935960591,0.0,0.8768472906403941,0.12315270935960591,0.0,Tony Avella RECAP,0.8768472906403941
26063,26063,100,212,36,11,0,259,248,11,0,0.8185328185328186,0.138996138996139,0.04247104247104247,0.0,0.9575289575289575,0.04247104247104247,0.0,Tony Avella RECAP,0.9575289575289575
26064,26064,100,151,27,26,0,204,178,26,0,0.7401960784313726,0.1323529411764706,0.12745098039215685,0.0,0.8725490196078431,0.12745098039215685,0.0,Tony Avella RECAP,0.8725490196078431
26065,26065,100,180,27,20,2,229,207,20,2,0.7860262008733624,0.11790393013100436,0.08733624454148471,0.008733624454148471,0.9039301310043668,0.08733624454148471,0.008733624454148471,Tony Avella RECAP,0.9039301310043668
26066,26066,100,203,28,33,1,265,231,33,1,0.7660377358490567,0.10566037735849057,0.12452830188679245,0.0037735849056603774,0.8716981132075472,0.12452830188679245,0.0037735849056603774,Tony Avella RECAP,0.8716981132075472
26067,26067,100,172,27,13,0,212,199,13,0,0.8113207547169812,0.12735849056603774,0.06132075471698113,0.0,0.9386792452830188,0.06132075471698113,0.0,Tony Avella RECAP,0.9386792452830188
26068,26068,100,152,31,16,1,200,183,16,1,0.76,0.155,0.08,0.005,0.915,0.08,0.005,Tony Avella RECAP,0.915
26069,26069,100,229,45,27,3,304,274,27,3,0.7532894736842105,0.14802631578947367,0.08881578947368421,0.009868421052631578,0.9013157894736842,0.08881578947368421,0.009868421052631578,Tony Avella RECAP,0.9013157894736842
26070,26070,100,195,10,24,0,229,205,24,0,0.851528384279476,0.043668122270742356,0.10480349344978165,0.0,0.8951965065502183,0.10480349344978165,0.0,Tony Avella RECAP,0.8951965065502183
26071,26071,100,295,17,12,0,324,312,12,0,0.9104938271604939,0.05246913580246913,0.037037037037037035,0.0,0.9629629629629629,0.037037037037037035,0.0,Tony Avella RECAP,0.9629629629629629
26072,26072,100,192,19,17,1,229,211,17,1,0.8384279475982532,0.08296943231441048,0.07423580786026202,0.004366812227074236,0.9213973799126638,0.07423580786026202,0.004366812227074236,Tony Avella RECAP,0.9213973799126638
26073,26073,100,576,44,16,1,637,620,16,1,0.9042386185243328,0.06907378335949764,0.02511773940345369,0.0015698587127158557,0.9733124018838305,0.02511773940345369,0.0015698587127158557,Tony Avella RECAP,0.9733124018838305
26074,26074,100,134,10,10,0,154,144,10,0,0.8701298701298701,0.06493506493506493,0.06493506493506493,0.0,0.935064935064935,0.06493506493506493,0.0,Tony Avella RECAP,0.935064935064935
26075,26075,100,168,9,14,1,192,177,14,1,0.875,0.046875,0.07291666666666667,0.005208333333333333,0.921875,0.07291666666666667,0.005208333333333333,Tony Avella RECAP,0.921875
26076,26076,100,151,14,16,0,181,165,16,0,0.8342541436464088,0.07734806629834254,0.08839779005524862,0.0,0.9116022099447514,0.08839779005524862,0.0,Tony Avella RECAP,0.9116022099447514
26077,26077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
26078,26078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27010,27010,100,2,0,0,0,2,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Tony Avella RECAP,1.0
27023,27023,100,129,27,18,3,177,156,18,3,0.7288135593220338,0.15254237288135594,0.1016949152542373,0.01694915254237288,0.8813559322033898,0.1016949152542373,0.01694915254237288,Tony Avella RECAP,0.8813559322033898
27033,27033,100,14,1,2,0,17,15,2,0,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.0,0.8823529411764706,0.11764705882352941,0.0,Tony Avella RECAP,0.8823529411764706
27051,27051,100,169,33,18,2,222,202,18,2,0.7612612612612613,0.14864864864864866,0.08108108108108109,0.009009009009009009,0.9099099099099099,0.08108108108108109,0.009009009009009009,Tony Avella RECAP,0.9099099099099099
27057,27057,100,58,23,14,0,95,81,14,0,0.6105263157894737,0.24210526315789474,0.14736842105263157,0.0,0.8526315789473684,0.14736842105263157,0.0,Tony Avella RECAP,0.8526315789473684
27059,27059,100,118,18,11,0,147,136,11,0,0.8027210884353742,0.12244897959183673,0.07482993197278912,0.0,0.9251700680272109,0.07482993197278912,0.0,Tony Avella RECAP,0.9251700680272109
27060,27060,100,159,20,14,2,195,179,14,2,0.8153846153846154,0.10256410256410256,0.07179487179487179,0.010256410256410256,0.9179487179487179,0.07179487179487179,0.010256410256410256,Tony Avella RECAP,0.9179487179487179
27061,27061,100,155,28,17,0,200,183,17,0,0.775,0.14,0.085,0.0,0.915,0.085,0.0,Tony Avella RECAP,0.915
27062,27062,100,144,19,13,1,177,163,13,1,0.8135593220338984,0.10734463276836158,0.07344632768361582,0.005649717514124294,0.9209039548022598,0.07344632768361582,0.005649717514124294,Tony Avella RECAP,0.9209039548022598
27063,27063,100,125,17,11,6,159,142,11,6,0.7861635220125787,0.1069182389937107,0.06918238993710692,0.03773584905660377,0.8930817610062893,0.06918238993710692,0.03773584905660377,Tony Avella RECAP,0.8930817610062893
27064,27064,100,131,20,10,0,161,151,10,0,0.8136645962732919,0.12422360248447205,0.062111801242236024,0.0,0.937888198757764,0.062111801242236024,0.0,Tony Avella RECAP,0.937888198757764
27065,27065,100,141,27,15,0,183,168,15,0,0.7704918032786885,0.14754098360655737,0.08196721311475409,0.0,0.9180327868852459,0.08196721311475409,0.0,Tony Avella RECAP,0.9180327868852459
27066,27066,100,155,16,18,0,189,171,18,0,0.8201058201058201,0.08465608465608465,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,0.0,Tony Avella RECAP,0.9047619047619048
27067,27067,100,139,17,13,0,169,156,13,0,0.8224852071005917,0.10059171597633136,0.07692307692307693,0.0,0.9230769230769231,0.07692307692307693,0.0,Tony Avella RECAP,0.9230769230769231
27068,27068,100,145,21,20,1,187,166,20,1,0.7754010695187166,0.11229946524064172,0.10695187165775401,0.0053475935828877,0.8877005347593583,0.10695187165775401,0.0053475935828877,Tony Avella RECAP,0.8877005347593583
27076,27076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27077,27077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27078,27077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
29004,29004,100,159,5,5,0,169,164,5,0,0.9408284023668639,0.029585798816568046,0.029585798816568046,0.0,0.9704142011834319,0.029585798816568046,0.0,Tony Avella RECAP,0.9704142011834319
29005,29005,100,47,1,0,0,48,48,0,0,0.9791666666666666,0.020833333333333332,0.0,0.0,1.0,0.0,0.0,Tony Avella RECAP,1.0
29007,29007,100,18,1,1,0,20,19,1,0,0.9,0.05,0.05,0.0,0.95,0.05,0.0,Tony Avella RECAP,0.95
29009,29009,100,139,2,5,0,146,141,5,0,0.952054794520548,0.0136986301369863,0.03424657534246575,0.0,0.9657534246575342,0.03424657534246575,0.0,Tony Avella RECAP,0.9657534246575342
29010,29010,100,182,2,7,0,191,184,7,0,0.9528795811518325,0.010471204188481676,0.03664921465968586,0.0,0.9633507853403142,0.03664921465968586,0.0,Tony Avella RECAP,0.9633507853403142
29011,29011,100,64,0,3,0,67,64,3,0,0.9552238805970149,0.0,0.04477611940298507,0.0,0.9552238805970149,0.04477611940298507,0.0,Tony Avella RECAP,0.9552238805970149
32002,32002,100,3,0,0,0,3,3,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Tony Avella RECAP,1.0
32007,32007,100,21,1,3,0,25,22,3,0,0.84,0.04,0.12,0.0,0.88,0.12,0.0,Tony Avella RECAP,0.88
32008,32008,100,25,0,2,0,27,25,2,0,0.9259259259259259,0.0,0.07407407407407407,0.0,0.9259259259259259,0.07407407407407407,0.0,Tony Avella RECAP,0.9259259259259259
32009,32009,100,26,1,0,0,27,27,0,0,0.9629629629629629,0.037037037037037035,0.0,0.0,1.0,0.0,0.0,Tony Avella RECAP,1.0
32010,32010,100,12,0,0,0,12,12,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Tony Avella RECAP,1.0
33001,33001,100,148,17,17,2,184,165,17,2,0.8043478260869565,0.09239130434782608,0.09239130434782608,0.010869565217391304,0.8967391304347826,0.09239130434782608,0.010869565217391304,Tony Avella RECAP,0.8967391304347826
33002,33002,100,166,32,20,0,218,198,20,0,0.7614678899082569,0.14678899082568808,0.09174311926605505,0.0,0.908256880733945,0.09174311926605505,0.0,Tony Avella RECAP,0.908256880733945
33003,33003,100,190,15,15,2,222,205,15,2,0.8558558558558559,0.06756756756756757,0.06756756756756757,0.009009009009009009,0.9234234234234234,0.06756756756756757,0.009009009009009009,Tony Avella RECAP,0.9234234234234234
33004,33004,100,171,23,18,1,213,194,18,1,0.8028169014084507,0.107981220657277,0.08450704225352113,0.004694835680751174,0.9107981220657277,0.08450704225352113,0.004694835680751174,Tony Avella RECAP,0.9107981220657277
33005,33005,100,183,24,18,2,227,207,18,2,0.8061674008810573,0.10572687224669604,0.07929515418502203,0.00881057268722467,0.9118942731277533,0.07929515418502203,0.00881057268722467,Tony Avella RECAP,0.9118942731277533
33006,33006,100,193,22,14,3,232,215,14,3,0.8318965517241379,0.09482758620689655,0.0603448275862069,0.01293103448275862,0.9267241379310345,0.0603448275862069,0.01293103448275862,Tony Avella RECAP,0.9267241379310345
33007,33007,100,176,25,18,1,220,201,18,1,0.8,0.11363636363636363,0.08181818181818182,0.004545454545454545,0.9136363636363637,0.08181818181818182,0.004545454545454545,Tony Avella RECAP,0.9136363636363637
33008,33008,100,112,16,8,0,136,128,8,0,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.0,0.9411764705882353,0.058823529411764705,0.0,Tony Avella RECAP,0.9411764705882353
33009,33009,100,165,18,22,1,206,183,22,1,0.8009708737864077,0.08737864077669903,0.10679611650485436,0.0048543689320388345,0.8883495145631068,0.10679611650485436,0.0048543689320388345,Tony Avella RECAP,0.8883495145631068
33010,33010,100,113,15,11,1,140,128,11,1,0.8071428571428572,0.10714285714285714,0.07857142857142857,0.007142857142857143,0.9142857142857143,0.07857142857142857,0.007142857142857143,Tony Avella RECAP,0.9142857142857143
33011,33011,100,142,14,15,0,171,156,15,0,0.8304093567251462,0.08187134502923976,0.08771929824561403,0.0,0.9122807017543859,0.08771929824561403,0.0,Tony Avella RECAP,0.9122807017543859
33012,33012,100,206,17,12,2,237,223,12,2,0.869198312236287,0.07172995780590717,0.05063291139240506,0.008438818565400843,0.9409282700421941,0.05063291139240506,0.008438818565400843,Tony Avella RECAP,0.9409282700421941
33013,33013,100,199,16,17,0,232,215,17,0,0.8577586206896551,0.06896551724137931,0.07327586206896551,0.0,0.9267241379310345,0.07327586206896551,0.0,Tony Avella RECAP,0.9267241379310345
33014,33014,100,130,10,13,0,153,140,13,0,0.8496732026143791,0.06535947712418301,0.08496732026143791,0.0,0.9150326797385621,0.08496732026143791,0.0,Tony Avella RECAP,0.9150326797385621
33015,33015,100,99,6,8,0,113,105,8,0,0.8761061946902655,0.05309734513274336,0.07079646017699115,0.0,0.9292035398230089,0.07079646017699115,0.0,Tony Avella RECAP,0.9292035398230089
35056,35056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35060,35056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
40001,40001,100,125,29,17,1,172,154,17,1,0.7267441860465116,0.1686046511627907,0.09883720930232558,0.005813953488372093,0.8953488372093024,0.09883720930232558,0.005813953488372093,Tony Avella RECAP,0.8953488372093024
40002,40002,100,126,25,13,1,165,151,13,1,0.7636363636363637,0.15151515151515152,0.07878787878787878,0.006060606060606061,0.9151515151515152,0.07878787878787878,0.006060606060606061,Tony Avella RECAP,0.9151515151515152
40004,40004,100,117,19,7,1,144,136,7,1,0.8125,0.13194444444444445,0.04861111111111111,0.006944444444444444,0.9444444444444444,0.04861111111111111,0.006944444444444444,Tony Avella RECAP,0.9444444444444444
40005,40005,100,163,28,19,1,211,191,19,1,0.7725118483412322,0.13270142180094788,0.09004739336492891,0.004739336492890996,0.9052132701421801,0.09004739336492891,0.004739336492890996,Tony Avella RECAP,0.9052132701421801
40006,40006,100,151,30,19,0,200,181,19,0,0.755,0.15,0.095,0.0,0.905,0.095,0.0,Tony Avella RECAP,0.905
40007,40007,100,186,28,18,5,237,214,18,5,0.7848101265822784,0.11814345991561181,0.0759493670886076,0.02109704641350211,0.9029535864978903,0.0759493670886076,0.02109704641350211,Tony Avella RECAP,0.9029535864978903
40008,40008,100,79,12,4,0,95,91,4,0,0.8315789473684211,0.12631578947368421,0.042105263157894736,0.0,0.9578947368421052,0.042105263157894736,0.0,Tony Avella RECAP,0.9578947368421052
40009,40009,100,196,36,38,0,270,232,38,0,0.725925925925926,0.13333333333333333,0.14074074074074075,0.0,0.8592592592592593,0.14074074074074075,0.0,Tony Avella RECAP,0.8592592592592593
40010,40010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
40013,40013,100,137,10,9,1,157,147,9,1,0.8726114649681529,0.06369426751592357,0.05732484076433121,0.006369426751592357,0.9363057324840764,0.05732484076433121,0.006369426751592357,Tony Avella RECAP,0.9363057324840764
40014,40014,100,120,15,13,0,148,135,13,0,0.8108108108108109,0.10135135135135136,0.08783783783783784,0.0,0.9121621621621622,0.08783783783783784,0.0,Tony Avella RECAP,0.9121621621621622
40015,40015,100,140,10,13,1,164,150,13,1,0.8536585365853658,0.06097560975609756,0.07926829268292683,0.006097560975609756,0.9146341463414634,0.07926829268292683,0.006097560975609756,Tony Avella RECAP,0.9146341463414634
40028,40028,100,54,4,5,0,63,58,5,0,0.8571428571428571,0.06349206349206349,0.07936507936507936,0.0,0.9206349206349206,0.07936507936507936,0.0,Tony Avella RECAP,0.9206349206349206
40047,40047,100,171,10,16,4,201,181,16,4,0.8507462686567164,0.04975124378109453,0.07960199004975124,0.01990049751243781,0.900497512437811,0.07960199004975124,0.01990049751243781,Tony Avella RECAP,0.900497512437811
40048,40048,100,251,17,27,0,295,268,27,0,0.8508474576271187,0.0576271186440678,0.09152542372881356,0.0,0.9084745762711864,0.09152542372881356,0.0,Tony Avella RECAP,0.9084745762711864
40049,40049,100,100,9,7,1,117,109,7,1,0.8547008547008547,0.07692307692307693,0.05982905982905983,0.008547008547008548,0.9316239316239316,0.05982905982905983,0.008547008547008548,Tony Avella RECAP,0.9316239316239316
40050,40050,100,110,1,2,1,114,111,2,1,0.9649122807017544,0.008771929824561403,0.017543859649122806,0.008771929824561403,0.9736842105263158,0.017543859649122806,0.008771929824561403,Tony Avella RECAP,0.9736842105263158
40051,40051,100,156,6,4,0,166,162,4,0,0.9397590361445783,0.03614457831325301,0.024096385542168676,0.0,0.9759036144578314,0.024096385542168676,0.0,Tony Avella RECAP,0.9759036144578314
